DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	449	145.582	0.324236	157.239	0.350199	0	0	0	0	6.98925	0.0155663	0.95944	0.00213684	0	6478	83121	58291	441098	1505740	1073313
1	541	0	0	0	0	0	0	372.4	0.688355	7.44886	0.0137687	22.1151	0.0408782	9738	190940	933650	27001	990711	1279779	1072731
1	4337	646.084	0.14897	648.818	0.149601	232.007	0.0534949	9072.9	3.03848	48.093	0.011089	81.5524	0.0188039	14988	0	1167717	0	1224778	1513846	1306798
1	750	0	0	0	0	0	0	0	0	3.18821	0.00425094	19.0449	0.0253932	6795	11294	151738	10098	149271	943078	8877
1	947	105.738	0.111656	264.951	0.279779	27.7069	0.0292576	218	0.230201	10.3744	0.010955	7.67552	0.00810509	0	642	98039	746	82079	180381	197089
1	877	0	0	308.136	0.351352	0	0	0	0	4.15853	0.00474176	6.71608	0.00765802	0	9767	1035816	18807	1279929	2685159	1740658
1	750	87.4437	0.116592	161.451	0.215268	0	0	228.8	0.305067	4.81514	0.00642018	0	0	7913	2285	20362	20336	101472	186302	114760
1	696	74.6657	0.107278	130.775	0.187895	0	0	0	0	5.7125	0.00820762	16.3585	0.0235035	1787	2077	71276	50388	156386	609440	235450
1	515	63.0716	0.122469	0	0	0	0	0	0	1.13812	0.00220995	0	0	3553	1934	88532	10216	39889	87336	225540
1	608	105.738	0.173911	0	0	221.902	0.364971	69	0.113487	5.90948	0.00971954	27.1042	0.0445792	20786	883	129199	10034	538344	686991	521763
1	645	11.0335	0.0171062	0	0	25.2509	0.0391487	0	0	4.66923	0.00723911	12.4727	0.0193376	0	379	589429	13380	998574	1147221	981993
